purchase_id,customer_id,product_id,quantity,purchase_date,store
T0043,C080,P046,1,2023-01-08 00:00:00,Store C
T0044,C066,P019,2,2023-01-08 04:00:00,Store C
T0045,C048,P011,1,2023-01-08 08:00:00,Store A
T0046,C060,P013,1,2023-01-08 12:00:00,Store A
T0047,C089,P046,3,2023-01-08 16:00:00,Store C
T0048,C005,P045,1,2023-01-08 20:00:00,Store C
T0049,C028,P001,1,2023-01-09 00:00:00,Store C
T0050,C014,P040,1,2023-01-09 04:00:00,Store A
T0051,C012,P044,3,2023-01-09 08:00:00,Store C
T0052,C094,P019,3,2023-01-09 12:00:00,Store C
T0053,C086,P012,2,2023-01-09 16:00:00,Store A
T0054,C070,P008,3,2023-01-09 20:00:00,Store B
T0055,C025,P008,1,2023-01-10 00:00:00,Store B
T0056,C072,P045,1,2023-01-10 04:00:00,Store C
T0057,C070,P012,1,2023-01-10 08:00:00,Store B
T0058,C038,P048,1,2023-01-10 12:00:00,Store B
T0059,C067,P033,1,2023-01-10 16:00:00,Store B
T0060,C064,P045,4,2023-01-10 20:00:00,Store B
T0061,C080,P026,1,2023-01-11 00:00:00,Store C
T0062,C082,P039,1,2023-01-11 04:00:00,Store B
T0063,C013,P028,1,2023-01-11 08:00:00,Store B
T0064,C062,P005,1,2023-01-11 12:00:00,Store A
T0065,C081,P008,4,2023-01-11 16:00:00,Store C
T0066,C073,P025,1,2023-01-11 20:00:00,Store A
T0067,C094,P027,1,2023-01-12 00:00:00,Store A
T0068,C083,P046,3,2023-01-12 04:00:00,Store C
T0069,C036,P023,1,2023-01-12 08:00:00,Store B
T0070,C019,P030,1,2023-01-12 12:00:00,Store A
T0071,C082,P045,1,2023-01-12 16:00:00,Store C
T0072,C008,P047,2,2023-01-12 20:00:00,Store B
T0073,C078,P023,5,2023-01-13 00:00:00,Store C
T0074,C098,P049,3,2023-01-13 04:00:00,Store A
T0075,C078,P047,1,2023-01-13 08:00:00,Store B
T0076,C063,P020,3,2023-01-13 12:00:00,Store B
T0077,C082,P018,1,2023-01-13 16:00:00,Store C
T0078,C069,P018,1,2023-01-13 20:00:00,Store B
T0079,C076,P002,1,2023-01-14 00:00:00,Store A
T0080,C098,P004,1,2023-01-14 04:00:00,Store A
T0081,C063,P030,2,2023-01-14 08:00:00,Store A
T0082,C099,P033,2,2023-01-14 12:00:00,Store C
T0083,C096,P036,4,2023-01-14 16:00:00,Store B
T0084,C041,P018,2,2023-01-14 20:00:00,Store B
T0085,C019,P037,2,2023-01-15 00:00:00,Store B
T0086,C026,P019,1,2023-01-15 04:00:00,Store A
T0087,C006,P047,1,2023-01-15 08:00:00,Store B
T0088,C024,P028,2,2023-01-15 12:00:00,Store A
T0089,C085,P040,1,2023-01-15 16:00:00,Store B
T0090,C019,P020,3,2023-01-15 20:00:00,Store A
T0091,C056,P049,1,2023-01-16 00:00:00,Store B
T0092,C093,P033,1,2023-01-16 04:00:00,Store C
T0093,C008,P012,1,2023-01-16 08:00:00,Store C
T0094,C092,P015,1,2023-01-16 12:00:00,Store A
T0095,C052,P041,1,2023-01-16 16:00:00,Store A
T0096,C029,P039,2,2023-01-16 20:00:00,Store B
T0097,C085,P002,1,2023-01-17 00:00:00,Store B
T0098,C081,P029,2,2023-01-17 04:00:00,Store C
T0099,C095,P041,1,2023-01-17 08:00:00,Store B
T0100,C088,P010,1,2023-01-17 12:00:00,Store A
T0101,C091,P002,1,2023-01-17 16:00:00,Store A
T0102,C052,P011,3,2023-01-17 20:00:00,Store A
T0103,C039,P013,1,2023-01-18 00:00:00,Store A
T0104,C088,P010,3,2023-01-18 04:00:00,Store A
T0105,C091,P014,1,2023-01-18 08:00:00,Store C
T0106,C100,P018,3,2023-01-18 12:00:00,Store C
T0107,C065,P009,1,2023-01-18 16:00:00,Store A
T0108,C062,P039,2,2023-01-18 20:00:00,Store B
T0109,C090,P028,2,2023-01-19 00:00:00,Store A
T0110,C059,P003,4,2023-01-19 04:00:00,Store C
T0111,C097,P020,1,2023-01-19 08:00:00,Store A
T0112,C094,P006,1,2023-01-19 12:00:00,Store C
T0113,C067,P027,1,2023-01-19 16:00:00,Store C
T0114,C088,P002,3,2023-01-19 20:00:00,Store A
T0115,C089,P029,2,2023-01-20 00:00:00,Store A
T0116,C026,P038,3,2023-01-20 04:00:00,Store B
T0117,C096,P003,1,2023-01-20 08:00:00,Store C
T0118,C073,P016,1,2023-01-20 12:00:00,Store B
T0119,C092,P030,1,2023-01-20 16:00:00,Store A
T0120,C056,P040,4,2023-01-20 20:00:00,Store C
T0121,C096,P002,2,2023-01-21 00:00:00,Store B
T0122,C063,P017,4,2023-01-21 04:00:00,Store B
T0123,C004,P041,1,2023-01-21 08:00:00,Store B
T0124,C096,P012,2,2023-01-21 12:00:00,Store A
T0125,C024,P035,2,2023-01-21 16:00:00,Store A
T0126,C056,P043,1,2023-01-21 20:00:00,Store A
T0127,C098,P001,3,2023-01-22 00:00:00,Store C
T0128,C098,P045,4,2023-01-22 04:00:00,Store A
T0129,C078,P015,3,2023-01-22 08:00:00,Store C
T0130,C081,P026,2,2023-01-22 12:00:00,Store B
T0131,C068,P037,1,2023-01-22 16:00:00,Store B
T0132,C054,P021,1,2023-01-22 20:00:00,Store A
T0133,C057,P049,4,2023-01-23 00:00:00,Store B
T0134,C084,P031,1,2023-01-23 04:00:00,Store A
T0135,C089,P025,2,2023-01-23 08:00:00,Store C
T0136,C091,P023,2,2023-01-23 12:00:00,Store B
T0137,C091,P024,2,2023-01-23 16:00:00,Store A
T0138,C024,P038,5,2023-01-23 20:00:00,Store B
T0139,C072,P028,1,2023-01-24 00:00:00,Store B
T0140,C016,P021,1,2023-01-24 04:00:00,Store A
T0141,C076,P043,1,2023-01-24 08:00:00,Store B
T0142,C068,P018,1,2023-01-24 12:00:00,Store B
T0143,C095,P036,1,2023-01-24 16:00:00,Store B
T0144,C060,P035,1,2023-01-24 20:00:00,Store B
T0145,C029,P045,3,2023-01-25 00:00:00,Store C
T0146,C033,P009,4,2023-01-25 04:00:00,Store B
T0147,C089,P038,1,2023-01-25 08:00:00,Store B
T0148,C081,P030,1,2023-01-25 12:00:00,Store A
T0149,C026,P044,4,2023-01-25 16:00:00,Store C
T0150,C022,P034,1,2023-01-25 20:00:00,Store A
T0151,C086,P032,1,2023-01-26 00:00:00,Store A
T0152,C020,P003,1,2023-01-26 04:00:00,Store A
T0153,C092,P003,2,2023-01-26 08:00:00,Store C
T0154,C086,P028,1,2023-01-26 12:00:00,Store A
T0155,C022,P044,4,2023-01-26 16:00:00,Store A
T0156,C022,P015,1,2023-01-26 20:00:00,Store A
T0157,C100,P041,2,2023-01-27 00:00:00,Store B
T0158,C062,P023,1,2023-01-27 04:00:00,Store A
T0159,C061,P040,1,2023-01-27 08:00:00,Store C
T0160,C092,P011,2,2023-01-27 12:00:00,Store C
T0161,C098,P048,3,2023-01-27 16:00:00,Store B
T0162,C100,P032,3,2023-01-27 20:00:00,Store C
T0163,C089,P036,2,2023-01-28 00:00:00,Store C
T0164,C062,P033,4,2023-01-28 04:00:00,Store B
T0165,C022,P024,3,2023-01-28 08:00:00,Store A
T0166,C090,P039,3,2023-01-28 12:00:00,Store B
T0167,C077,P034,1,2023-01-28 16:00:00,Store A
T0168,C066,P028,1,2023-01-28 20:00:00,Store A
T0169,C096,P037,1,2023-01-29 00:00:00,Store C
T0170,C028,P007,2,2023-01-29 04:00:00,Store B
T0171,C072,P004,1,2023-01-29 08:00:00,Store C
T0172,C004,P037,1,2023-01-29 12:00:00,Store C
T0173,C070,P001,3,2023-01-29 16:00:00,Store A
T0174,C016,P001,3,2023-01-29 20:00:00,Store C
T0175,C029,P047,4,2023-01-30 00:00:00,Store B
T0176,C029,P020,1,2023-01-30 04:00:00,Store C
T0177,C083,P019,2,2023-01-30 08:00:00,Store C
T0178,C088,P029,1,2023-01-30 12:00:00,Store A
T0179,C078,P010,1,2023-01-30 16:00:00,Store B
T0180,C099,P018,1,2023-01-30 20:00:00,Store C
T0181,C062,P028,1,2023-01-31 00:00:00,Store A
T0182,C053,P035,1,2023-01-31 04:00:00,Store C
T0183,C095,P043,3,2023-01-31 08:00:00,Store B
T0184,C045,P047,1,2023-01-31 12:00:00,Store C
T0185,C099,P031,2,2023-01-31 16:00:00,Store C
T0186,C004,P027,2,2023-01-31 20:00:00,Store A
T0187,C099,P011,1,2023-02-01 00:00:00,Store C
T0188,C013,P049,1,2023-02-01 04:00:00,Store A
T0189,C096,P049,1,2023-02-01 08:00:00,Store B
T0190,C074,P038,2,2023-02-01 12:00:00,Store C
T0191,C100,P005,1,2023-02-01 16:00:00,Store B
T0192,C020,P008,1,2023-02-01 20:00:00,Store B
T0193,C076,P034,1,2023-02-02 00:00:00,Store C
T0194,C099,P048,2,2023-02-02 04:00:00,Store A
T0195,C074,P012,4,2023-02-02 08:00:00,Store B
T0196,C081,P038,1,2023-02-02 12:00:00,Store B
T0197,C085,P001,2,2023-02-02 16:00:00,Store C
T0198,C069,P031,2,2023-02-02 20:00:00,Store C
T0199,C081,P004,4,2023-02-03 00:00:00,Store C
T0200,C078,P049,3,2023-02-03 04:00:00,Store C
T0201,C096,P045,2,2023-02-03 08:00:00,Store C
T0202,C013,P050,2,2023-02-03 12:00:00,Store C
T0203,C052,P005,3,2023-02-03 16:00:00,Store A
T0204,C098,P030,1,2023-02-03 20:00:00,Store B
T0205,C096,P024,1,2023-02-04 00:00:00,Store A
T0206,C069,P003,1,2023-02-04 04:00:00,Store A
T0207,C081,P011,3,2023-02-04 08:00:00,Store C
T0208,C052,P045,3,2023-02-04 12:00:00,Store B
T0209,C040,P004,1,2023-02-04 16:00:00,Store A
T0210,C070,P026,2,2023-02-04 20:00:00,Store C
T0211,C060,P027,1,2023-02-05 00:00:00,Store C
T0212,C078,P046,1,2023-02-05 04:00:00,Store B
T0213,C021,P043,5,2023-02-05 08:00:00,Store A
T0214,C099,P027,1,2023-02-05 12:00:00,Store A
T0215,C100,P042,1,2023-02-05 16:00:00,Store A
T0216,C085,P050,2,2023-02-05 20:00:00,Store C
T0217,C075,P006,2,2023-02-06 00:00:00,Store B
T0218,C055,P015,1,2023-02-06 04:00:00,Store B
T0219,C092,P030,2,2023-02-06 08:00:00,Store A
T0220,C085,P042,2,2023-02-06 12:00:00,Store C
T0221,C036,P037,1,2023-02-06 16:00:00,Store A
T0222,C097,P037,1,2023-02-06 20:00:00,Store B
T0223,C092,P042,2,2023-02-07 00:00:00,Store C
T0224,C098,P037,1,2023-02-07 04:00:00,Store A
T0225,C087,P035,4,2023-02-07 08:00:00,Store A
T0226,C080,P023,3,2023-02-07 12:00:00,Store C
T0227,C066,P006,5,2023-02-07 16:00:00,Store B
T0228,C098,P004,1,2023-02-07 20:00:00,Store C
T0229,C094,P018,4,2023-02-08 00:00:00,Store A
T0230,C013,P009,1,2023-02-08 04:00:00,Store A
T0231,C008,P049,1,2023-02-08 08:00:00,Store A
T0232,C062,P029,1,2023-02-08 12:00:00,Store A
T0233,C092,P013,1,2023-02-08 16:00:00,Store B
T0234,C100,P047,2,2023-02-08 20:00:00,Store B
T0235,C034,P017,1,2023-02-09 00:00:00,Store A
T0236,C079,P045,1,2023-02-09 04:00:00,Store B
T0237,C062,P032,2,2023-02-09 08:00:00,Store B
T0238,C099,P048,1,2023-02-09 12:00:00,Store B
T0239,C093,P022,2,2023-02-09 16:00:00,Store A
T0240,C093,P004,1,2023-02-09 20:00:00,Store C
T0241,C070,P005,3,2023-02-10 00:00:00,Store C
T0242,C065,P037,3,2023-02-10 04:00:00,Store C
T0243,C051,P041,1,2023-02-10 08:00:00,Store A
T0244,C016,P049,1,2023-02-10 12:00:00,Store B
T0245,C094,P013,1,2023-02-10 16:00:00,Store B
T0246,C092,P034,3,2023-02-10 20:00:00,Store A
T0247,C100,P045,1,2023-02-11 00:00:00,Store A
T0248,C100,P022,1,2023-02-11 04:00:00,Store C
T0249,C076,P023,1,2023-02-11 08:00:00,Store C
T0250,C089,P003,1,2023-02-11 12:00:00,Store A
T0251,C098,P042,1,2023-02-11 16:00:00,Store C
T0252,C094,P034,3,2023-02-11 20:00:00,Store B
T0253,C048,P032,1,2023-02-12 00:00:00,Store A
T0254,C068,P045,1,2023-02-12 04:00:00,Store A
T0255,C031,P049,3,2023-02-12 08:00:00,Store B
T0256,C098,P021,3,2023-02-12 12:00:00,Store B
T0257,C080,P046,1,2023-02-12 16:00:00,Store B
T0258,C046,P044,1,2023-02-12 20:00:00,Store C
T0259,C084,P021,1,2023-02-13 00:00:00,Store A
T0260,C081,P044,4,2023-02-13 04:00:00,Store C
T0261,C060,P011,1,2023-02-13 08:00:00,Store B
T0262,C028,P039,4,2023-02-13 12:00:00,Store C
T0263,C084,P004,2,2023-02-13 16:00:00,Store B
T0264,C074,P001,2,2023-02-13 20:00:00,Store C
T0265,C090,P028,1,2023-02-14 00:00:00,Store C
T0266,C074,P024,1,2023-02-14 04:00:00,Store B
T0267,C094,P035,1,2023-02-14 08:00:00,Store C
T0268,C076,P013,1,2023-02-14 12:00:00,Store A
T0269,C077,P047,2,2023-02-14 16:00:00,Store C
T0270,C095,P034,5,2023-02-14 20:00:00,Store C
T0271,C064,P011,2,2023-02-15 00:00:00,Store A
T0272,C032,P036,2,2023-02-15 04:00:00,Store B
T0273,C009,P017,1,2023-02-15 08:00:00,Store A
T0274,C089,P035,1,2023-02-15 12:00:00,Store C
T0275,C081,P018,1,2023-02-15 16:00:00,Store B
T0276,C086,P040,2,2023-02-15 20:00:00,Store C
T0277,C044,P022,4,2023-02-16 00:00:00,Store C
T0278,C032,P024,2,2023-02-16 04:00:00,Store A
T0279,C005,P019,1,2023-02-16 08:00:00,Store A
T0280,C059,P037,1,2023-02-16 12:00:00,Store B
T0281,C079,P039,2,2023-02-16 16:00:00,Store B
T0282,C063,P021,1,2023-02-16 20:00:00,Store B
T0283,C067,P008,3,2023-02-17 00:00:00,Store C
T0284,C096,P028,3,2023-02-17 04:00:00,Store A
T0285,C059,P005,2,2023-02-17 08:00:00,Store A
T0286,C073,P017,1,2023-02-17 12:00:00,Store A
T0287,C090,P037,1,2023-02-17 16:00:00,Store B
T0288,C064,P036,1,2023-02-17 20:00:00,Store A
T0289,C081,P019,1,2023-02-18 00:00:00,Store A
T0290,C094,P027,1,2023-02-18 04:00:00,Store A
T0291,C098,P034,2,2023-02-18 08:00:00,Store B
T0292,C034,P011,2,2023-02-18 12:00:00,Store A
T0293,C097,P045,1,2023-02-18 16:00:00,Store B
T0294,C072,P047,1,2023-02-18 20:00:00,Store A
T0295,C049,P012,1,2023-02-19 00:00:00,Store A
T0296,C069,P021,1,2023-02-19 04:00:00,Store A
T0297,C100,P011,3,2023-02-19 08:00:00,Store B
T0298,C072,P039,1,2023-02-19 12:00:00,Store B
T0299,C057,P028,1,2023-02-19 16:00:00,Store A
T0300,C082,P005,1,2023-02-19 20:00:00,Store C
T0301,C047,P017,3,2023-02-20 00:00:00,Store B
T0302,C020,P020,2,2023-02-20 04:00:00,Store B
T0303,C031,P041,1,2023-02-20 08:00:00,Store A
T0304,C031,P046,2,2023-02-20 12:00:00,Store C
T0305,C035,P012,2,2023-02-20 16:00:00,Store A
T0306,C032,P006,4,2023-02-20 20:00:00,Store B
T0307,C082,P017,1,2023-02-21 00:00:00,Store B
T0308,C039,P019,3,2023-02-21 04:00:00,Store A
T0309,C059,P026,4,2023-02-21 08:00:00,Store A
T0310,C096,P048,4,2023-02-21 12:00:00,Store C
T0311,C070,P044,2,2023-02-21 16:00:00,Store C
T0312,C084,P044,2,2023-02-21 20:00:00,Store B
T0313,C038,P032,1,2023-02-22 00:00:00,Store C
T0314,C041,P006,3,2023-02-22 04:00:00,Store C
T0315,C012,P036,2,2023-02-22 08:00:00,Store B
T0316,C037,P038,2,2023-02-22 12:00:00,Store B
T0317,C052,P011,1,2023-02-22 16:00:00,Store B
T0318,C039,P033,2,2023-02-22 20:00:00,Store B
T0319,C023,P024,3,2023-02-23 00:00:00,Store A
T0320,C029,P023,1,2023-02-23 04:00:00,Store B
T0321,C069,P015,3,2023-02-23 08:00:00,Store B
T0322,C043,P027,2,2023-02-23 12:00:00,Store B
T0323,C061,P011,3,2023-02-23 16:00:00,Store C
T0324,C073,P050,1,2023-02-23 20:00:00,Store B
T0325,C085,P017,1,2023-02-24 00:00:00,Store A
T0326,C012,P014,4,2023-02-24 04:00:00,Store A
T0327,C091,P027,1,2023-02-24 08:00:00,Store B
T0328,C081,P018,3,2023-02-24 12:00:00,Store A
T0329,C022,P028,1,2023-02-24 16:00:00,Store C
T0330,C095,P047,2,2023-02-24 20:00:00,Store B
T0331,C097,P047,1,2023-02-25 00:00:00,Store A
T0332,C017,P004,2,2023-02-25 04:00:00,Store A
T0333,C052,P007,1,2023-02-25 08:00:00,Store B
T0334,C091,P045,1,2023-02-25 12:00:00,Store A
T0335,C088,P035,1,2023-02-25 16:00:00,Store B
T0336,C040,P048,1,2023-02-25 20:00:00,Store A
T0337,C043,P009,5,2023-02-26 00:00:00,Store C
T0338,C061,P008,4,2023-02-26 04:00:00,Store A
T0339,C071,P045,1,2023-02-26 08:00:00,Store A
T0340,C081,P017,2,2023-02-26 12:00:00,Store B
T0341,C061,P017,1,2023-02-26 16:00:00,Store A
T0342,C069,P049,2,2023-02-26 20:00:00,Store B
T0343,C088,P033,3,2023-02-27 00:00:00,Store C
T0344,C011,P032,4,2023-02-27 04:00:00,Store B
T0345,C049,P008,1,2023-02-27 08:00:00,Store B
T0346,C086,P019,3,2023-02-27 12:00:00,Store A
T0347,C096,P038,1,2023-02-27 16:00:00,Store C
T0348,C073,P003,5,2023-02-27 20:00:00,Store B
T0349,C075,P005,1,2023-02-28 00:00:00,Store A
T0350,C027,P013,2,2023-02-28 04:00:00,Store A
T0351,C068,P047,2,2023-02-28 08:00:00,Store B
T0352,C075,P046,2,2023-02-28 12:00:00,Store A
T0353,C048,P031,1,2023-02-28 16:00:00,Store B
T0354,C051,P016,4,2023-02-28 20:00:00,Store B
T0355,C062,P050,1,2023-03-01 00:00:00,Store B
T0356,C007,P032,2,2023-03-01 04:00:00,Store C
T0357,C057,P022,1,2023-03-01 08:00:00,Store B
T0358,C043,P029,1,2023-03-01 12:00:00,Store A
T0359,C057,P022,2,2023-03-01 16:00:00,Store C
T0360,C029,P043,1,2023-03-01 20:00:00,Store A
T0361,C096,P003,1,2023-03-02 00:00:00,Store C
T0362,C079,P010,1,2023-03-02 04:00:00,Store C
T0363,C084,P042,1,2023-03-02 08:00:00,Store C
T0364,C091,P021,3,2023-03-02 12:00:00,Store C
T0365,C072,P016,3,2023-03-02 16:00:00,Store A
T0366,C023,P012,1,2023-03-02 20:00:00,Store B
T0367,C075,P002,1,2023-03-03 00:00:00,Store A
T0368,C079,P041,1,2023-03-03 04:00:00,Store B
T0369,C088,P024,1,2023-03-03 08:00:00,Store A
T0370,C067,P035,2,2023-03-03 12:00:00,Store C
T0371,C031,P030,2,2023-03-03 16:00:00,Store C
T0372,C052,P030,1,2023-03-03 20:00:00,Store B
T0373,C061,P047,1,2023-03-04 00:00:00,Store B
T0374,C082,P035,1,2023-03-04 04:00:00,Store A
T0375,C077,P019,3,2023-03-04 08:00:00,Store B
T0376,C060,P050,5,2023-03-04 12:00:00,Store A
T0377,C100,P008,1,2023-03-04 16:00:00,Store B
T0378,C080,P026,1,2023-03-04 20:00:00,Store B
T0379,C047,P049,3,2023-03-05 00:00:00,Store B
T0380,C026,P040,4,2023-03-05 04:00:00,Store C
T0381,C035,P007,1,2023-03-05 08:00:00,Store C
T0382,C048,P030,1,2023-03-05 12:00:00,Store A
T0383,C036,P007,1,2023-03-05 16:00:00,Store B
T0384,C040,P003,2,2023-03-05 20:00:00,Store A
T0385,C053,P001,1,2023-03-06 00:00:00,Store B
T0386,C038,P036,1,2023-03-06 04:00:00,Store C
T0387,C096,P025,2,2023-03-06 08:00:00,Store C
T0388,C021,P037,1,2023-03-06 12:00:00,Store B
T0389,C074,P001,3,2023-03-06 16:00:00,Store B
T0390,C065,P015,1,2023-03-06 20:00:00,Store C
T0391,C100,P037,1,2023-03-07 00:00:00,Store C
T0392,C028,P013,2,2023-03-07 04:00:00,Store A
T0393,C064,P040,1,2023-03-07 08:00:00,Store C
T0394,C099,P008,5,2023-03-07 12:00:00,Store B
T0395,C094,P005,2,2023-03-07 16:00:00,Store A
T0396,C092,P009,1,2023-03-07 20:00:00,Store B
T0397,C049,P001,2,2023-03-08 00:00:00,Store A
T0398,C038,P036,1,2023-03-08 04:00:00,Store B
T0399,C084,P035,4,2023-03-08 08:00:00,Store C
T0400,C097,P002,1,2023-03-08 12:00:00,Store B
T0401,C076,P040,2,2023-03-08 16:00:00,Store A
T0402,C078,P023,1,2023-03-08 20:00:00,Store B
T0403,C052,P009,1,2023-03-09 00:00:00,Store A
T0404,C089,P034,3,2023-03-09 04:00:00,Store B
T0405,C040,P046,3,2023-03-09 08:00:00,Store C
T0406,C057,P014,1,2023-03-09 12:00:00,Store C
T0407,C066,P004,1,2023-03-09 16:00:00,Store B
T0408,C073,P030,3,2023-03-09 20:00:00,Store B
T0409,C048,P031,4,2023-03-10 00:00:00,Store B
T0410,C028,P038,1,2023-03-10 04:00:00,Store A
T0411,C080,P011,1,2023-03-10 08:00:00,Store B
T0412,C053,P035,1,2023-03-10 12:00:00,Store B
T0413,C078,P008,3,2023-03-10 16:00:00,Store A
T0414,C035,P003,1,2023-03-10 20:00:00,Store C
T0415,C071,P014,1,2023-03-11 00:00:00,Store B
T0416,C075,P013,3,2023-03-11 04:00:00,Store B
T0417,C015,P045,1,2023-03-11 08:00:00,Store C
T0418,C058,P032,1,2023-03-11 12:00:00,Store C
T0419,C032,P034,1,2023-03-11 16:00:00,Store A
T0420,C018,P045,1,2023-03-11 20:00:00,Store B
T0421,C100,P019,1,2023-03-12 00:00:00,Store B
T0422,C057,P038,2,2023-03-12 04:00:00,Store A
T0423,C092,P016,1,2023-03-12 08:00:00,Store C
T0424,C049,P002,2,2023-03-12 12:00:00,Store A
T0425,C084,P040,3,2023-03-12 16:00:00,Store C
T0426,C089,P017,3,2023-03-12 20:00:00,Store A
T0427,C079,P034,1,2023-03-13 00:00:00,Store C
T0428,C070,P042,1,2023-03-13 04:00:00,Store A
T0429,C065,P016,1,2023-03-13 08:00:00,Store C
T0430,C059,P038,1,2023-03-13 12:00:00,Store C
T0431,C097,P002,1,2023-03-13 16:00:00,Store C
T0432,C093,P002,2,2023-03-13 20:00:00,Store C
T0433,C099,P026,1,2023-03-14 00:00:00,Store C
T0434,C030,P013,1,2023-03-14 04:00:00,Store B
T0435,C087,P047,1,2023-03-14 08:00:00,Store C
T0436,C098,P031,2,2023-03-14 12:00:00,Store B
T0437,C039,P034,1,2023-03-14 16:00:00,Store C
T0438,C018,P039,2,2023-03-14 20:00:00,Store B
T0439,C088,P003,1,2023-03-15 00:00:00,Store B
T0440,C078,P008,3,2023-03-15 04:00:00,Store A
T0441,C093,P023,3,2023-03-15 08:00:00,Store C
T0442,C033,P014,1,2023-03-15 12:00:00,Store A
T0443,C091,P027,1,2023-03-15 16:00:00,Store A
T0444,C042,P029,1,2023-03-15 20:00:00,Store C
T0445,C037,P039,1,2023-03-16 00:00:00,Store A
T0446,C037,P039,2,2023-03-16 04:00:00,Store C
T0447,C092,P001,3,2023-03-16 08:00:00,Store A
T0448,C084,P017,2,2023-03-16 12:00:00,Store C
T0449,C074,P041,3,2023-03-16 16:00:00,Store C
T0450,C060,P030,1,2023-03-16 20:00:00,Store C
T0451,C095,P013,1,2023-03-17 00:00:00,Store B
T0452,C063,P021,2,2023-03-17 04:00:00,Store A
T0453,C092,P019,1,2023-03-17 08:00:00,Store B
T0454,C068,P019,2,2023-03-17 12:00:00,Store A
T0455,C062,P025,1,2023-03-17 16:00:00,Store A
T0456,C069,P022,1,2023-03-17 20:00:00,Store A
T0457,C054,P031,5,2023-03-18 00:00:00,Store B
T0458,C088,P017,1,2023-03-18 04:00:00,Store A
T0459,C073,P023,5,2023-03-18 08:00:00,Store B
T0460,C046,P032,5,2023-03-18 12:00:00,Store C
T0461,C096,P010,3,2023-03-18 16:00:00,Store A
T0462,C063,P010,2,2023-03-18 20:00:00,Store A
T0463,C076,P036,2,2023-03-19 00:00:00,Store C
T0464,C096,P008,3,2023-03-19 04:00:00,Store C
T0465,C081,P020,1,2023-03-19 08:00:00,Store A
T0466,C029,P032,1,2023-03-19 12:00:00,Store C
T0467,C098,P050,2,2023-03-19 16:00:00,Store B
T0468,C081,P014,1,2023-03-19 20:00:00,Store B
T0469,C058,P050,1,2023-03-20 00:00:00,Store A
T0470,C033,P028,1,2023-03-20 04:00:00,Store B
T0471,C091,P046,2,2023-03-20 08:00:00,Store B
T0472,C081,P024,3,2023-03-20 12:00:00,Store A
T0473,C075,P015,1,2023-03-20 16:00:00,Store C
T0474,C096,P022,4,2023-03-20 20:00:00,Store A
T0475,C090,P030,2,2023-03-21 00:00:00,Store B
T0476,C035,P004,3,2023-03-21 04:00:00,Store A
T0477,C056,P013,2,2023-03-21 08:00:00,Store A
T0478,C048,P023,3,2023-03-21 12:00:00,Store B
T0479,C088,P008,1,2023-03-21 16:00:00,Store B
T0480,C010,P018,3,2023-03-21 20:00:00,Store A
