station_name,measurement_timestamp,air_temperature_c,wet_bulb_temperature_c,relative_humidity_pct,rain_intensity_mm_per_hour,interval_rain_mm,total_rain_mm,precipitation_type_code,wind_direction_deg,wind_speed_mps,maximum_wind_speed_mps,barometric_pressure_hpa,solar_radiation_w_m2,battery_voltage_v
Oak Street Weather Station,2022-01-01 20:00:00,-0.1,-1.1,83,0.0,0.1,53.8,0.0,42,8.6,11.1,990.4,0,11.8
Foster Weather Station,2022-01-01 21:00:00,-0.78,,77,,0.08,,,0,3.3,0.0,988.5,3,14.8
Oak Street Weather Station,2022-01-01 21:00:00,-0.2,-1.1,83,0.0,0.0,53.8,0.0,44,9.4,11.6,990.2,1,12.0
Foster Weather Station,2022-01-01 22:00:00,-1.0,,79,,0.56,,,0,3.3,0.0,988.8,3,15.2
Oak Street Weather Station,2022-01-01 22:00:00,-0.2,-1.0,85,0.0,0.1,53.9,70.0,64,8.4,11.4,990.4,1,12.0
Foster Weather Station,2022-01-01 23:00:00,-1.06,,77,,0.79,,,0,3.3,0.0,989.5,2,15.2
Oak Street Weather Station,2022-01-01 23:00:00,-0.3,-1.2,84,0.6,0.3,54.3,60.0,61,6.9,9.6,991.3,1,11.9
Foster Weather Station,2022-01-02 00:00:00,-1.28,,77,,0.1,,,0,3.3,0.0,989.8,3,15.2
Oak Street Weather Station,2022-01-02 00:00:00,-0.4,-1.5,81,0.0,0.1,54.3,60.0,52,7.7,9.5,991.7,1,12.0
Foster Weather Station,2022-01-02 01:00:00,-1.39,,77,,0.15,,,0,3.3,0.0,990.9,2,15.2
Oak Street Weather Station,2022-01-02 01:00:00,-0.6,-1.4,85,0.0,0.1,54.5,60.0,56,6.7,9.8,992.5,1,12.0
Foster Weather Station,2022-01-02 02:00:00,-1.67,,80,,0.2,,,0,3.3,0.0,991.5,2,15.2
Oak Street Weather Station,2022-01-02 02:00:00,-0.7,-1.6,84,0.6,0.3,54.7,60.0,39,6.1,8.8,993.3,1,11.9
Foster Weather Station,2022-01-02 03:00:00,-1.89,,74,,0.03,,,0,3.3,0.0,991.9,2,15.2
Oak Street Weather Station,2022-01-02 03:00:00,-1.1,-2.1,82,0.0,0.2,54.9,70.0,45,7.8,9.9,993.7,1,12.0
Foster Weather Station,2022-01-02 04:00:00,-1.67,,69,,0.0,,,0,3.3,0.0,992.2,2,15.2
Oak Street Weather Station,2022-01-02 04:00:00,-0.9,-2.2,77,0.0,0.0,54.9,70.0,26,8.3,11.2,993.8,1,11.7
Foster Weather Station,2022-01-02 05:00:00,-4.39,,77,,0.0,,,0,3.3,0.0,992.9,2,15.2
Oak Street Weather Station,2022-01-02 05:00:00,-0.6,-1.8,77,0.0,0.0,55.0,0.0,31,6.4,8.9,994.4,1,11.7
Foster Weather Station,2022-01-02 06:00:00,-5.39,,77,,0.03,,,0,3.3,0.0,993.6,2,15.2
Oak Street Weather Station,2022-01-02 06:00:00,-3.6,-4.6,81,0.0,0.1,55.1,70.0,253,0.9,1.7,995.1,1,12.0
Foster Weather Station,2022-01-02 07:00:00,-5.39,,77,,0.0,,,0,3.3,0.0,994.2,3,14.8
Oak Street Weather Station,2022-01-02 07:00:00,-4.1,-4.9,81,0.0,0.1,55.1,0.0,347,1.9,3.0,995.9,1,11.9
Foster Weather Station,2022-01-02 08:00:00,-6.5,,73,,0.0,,,0,3.3,0.0,996.6,6,15.2
Oak Street Weather Station,2022-01-02 08:00:00,-4.9,-5.8,79,0.0,0.0,55.1,0.0,315,0.7,1.7,998.2,5,11.9
Foster Weather Station,2022-01-02 09:00:00,-6.89,,73,,0.0,,,0,3.3,0.0,997.3,51,15.2
Oak Street Weather Station,2022-01-02 09:00:00,-5.1,-6.1,78,0.0,0.0,55.2,70.0,332,1.4,4.0,998.9,42,11.9
Foster Weather Station,2022-01-02 10:00:00,-6.39,,73,,0.0,,,0,3.3,0.0,998.0,116,15.2
Oak Street Weather Station,2022-01-02 10:00:00,-4.7,-5.7,78,0.0,0.1,55.3,70.0,333,0.9,2.4,999.7,55,12.0
Foster Weather Station,2022-01-02 11:00:00,-4.67,,72,,0.0,,,0,3.3,0.0,997.6,218,15.2
Oak Street Weather Station,2022-01-02 11:00:00,-3.7,-4.8,78,0.0,0.1,55.3,70.0,333,1.1,2.7,999.2,108,11.9
Foster Weather Station,2022-01-02 12:00:00,-4.39,,72,,0.0,,,0,3.3,0.0,997.6,575,15.2
Oak Street Weather Station,2022-01-02 12:00:00,-2.8,-3.9,79,0.0,0.0,55.4,0.0,10,5.6,9.3,999.2,96,11.9
Foster Weather Station,2022-01-02 13:00:00,-4.0,,73,,0.0,,,0,3.3,0.0,998.0,199,14.8
Oak Street Weather Station,2022-01-02 13:00:00,-3.0,-4.1,78,0.0,0.0,55.4,0.0,346,4.7,8.8,999.7,173,11.9
Foster Weather Station,2022-01-02 14:00:00,-4.0,,69,,0.0,,,0,3.3,0.0,999.0,318,15.2
Oak Street Weather Station,2022-01-02 14:00:00,-2.7,-3.9,77,0.0,0.0,55.4,0.0,14,5.4,6.8,1000.3,57,12.0
Foster Weather Station,2022-01-02 15:00:00,-3.39,,65,,0.0,,,0,3.3,0.0,1000.0,205,15.2
Oak Street Weather Station,2022-01-02 15:00:00,-2.4,-3.9,71,0.0,0.0,55.4,0.0,352,2.1,3.4,1001.4,21,11.7
Foster Weather Station,2022-01-02 16:00:00,-3.56,,63,,0.0,,,0,3.3,0.0,1000.7,18,15.2
Oak Street Weather Station,2022-01-02 16:00:00,-2.3,-3.9,68,0.0,0.0,55.4,0.0,352,1.7,2.9,1002.0,12,12.0
Foster Weather Station,2022-01-02 17:00:00,-3.89,,61,,0.0,,,0,3.3,0.0,1001.0,1,15.2
Oak Street Weather Station,2022-01-02 17:00:00,-2.5,-4.2,67,0.0,0.0,55.4,0.0,346,1.5,2.2,1002.4,1,11.9
Foster Weather Station,2022-01-02 18:00:00,-4.56,,62,,0.0,,,0,3.3,0.0,1001.7,2,14.8
Oak Street Weather Station,2022-01-02 18:00:00,-2.9,-4.4,69,0.0,0.0,55.4,0.0,345,2.3,3.8,1002.8,1,11.8
Foster Weather Station,2022-01-02 19:00:00,-5.67,,65,,0.0,,,0,3.3,0.0,1002.0,1,15.2
Oak Street Weather Station,2022-01-02 19:00:00,-3.8,-5.3,68,0.0,0.0,55.4,0.0,319,0.8,2.3,1003.5,1,11.9
Foster Weather Station,2022-01-02 20:00:00,-6.89,,66,,0.0,,,0,3.3,0.0,1002.4,1,15.2
Oak Street Weather Station,2022-01-02 20:00:00,-5.0,-6.3,70,0.0,0.0,55.4,0.0,336,1.9,3.1,1003.7,3,11.8
Foster Weather Station,2022-01-02 21:00:00,-8.0,,64,,0.0,,,0,3.3,0.0,1002.7,1,15.2
Oak Street Weather Station,2022-01-02 21:00:00,-6.0,-7.3,69,0.0,0.0,55.4,0.0,324,1.3,3.4,1004.3,3,12.0
Foster Weather Station,2022-01-02 22:00:00,-8.56,,65,,0.0,,,0,3.3,0.0,1002.4,2,14.8
Oak Street Weather Station,2022-01-02 22:00:00,-6.2,-7.6,67,0.0,0.0,55.4,0.0,260,0.9,1.5,1004.0,3,12.0
Foster Weather Station,2022-01-02 23:00:00,-9.39,,66,,0.0,,,0,3.3,0.0,1002.7,1,15.2
Oak Street Weather Station,2022-01-02 23:00:00,-6.8,-8.0,69,0.0,0.0,55.4,0.0,315,0.8,2.1,1004.0,3,12.0
Foster Weather Station,2022-01-03 00:00:00,-10.0,,66,,0.0,,,0,3.3,0.0,1002.7,2,14.8
Oak Street Weather Station,2022-01-03 00:00:00,-7.4,-8.7,69,0.0,0.0,55.4,0.0,268,1.3,3.1,1004.2,4,11.9
Foster Weather Station,2022-01-03 01:00:00,-10.17,,66,,0.0,,,0,3.3,0.0,1002.7,2,14.8
Oak Street Weather Station,2022-01-03 01:00:00,-8.1,-9.3,69,0.0,0.0,55.4,0.0,252,0.9,2.0,1004.4,3,11.9
Foster Weather Station,2022-01-03 02:00:00,-10.17,,65,,0.0,,,0,3.3,0.0,1003.4,1,15.3
Oak Street Weather Station,2022-01-03 02:00:00,-8.1,-9.3,67,0.0,0.0,55.4,0.0,338,2.0,4.1,1004.8,3,11.9
Foster Weather Station,2022-01-03 03:00:00,-10.56,,68,,0.0,,,0,3.3,0.0,1004.1,2,14.8
Oak Street Weather Station,2022-01-03 03:00:00,-8.4,-9.6,68,0.0,0.0,55.4,0.0,341,1.6,3.4,1005.4,3,11.8
Foster Weather Station,2022-01-03 04:00:00,-11.0,,66,,0.0,,,0,3.3,0.0,1004.1,1,15.2
Oak Street Weather Station,2022-01-03 04:00:00,-8.5,-9.7,67,0.0,0.0,55.4,0.0,306,0.9,2.4,1005.5,3,12.0
Foster Weather Station,2022-01-03 05:00:00,-10.78,,66,,0.0,,,0,3.3,0.0,1004.1,2,14.8
Oak Street Weather Station,2022-01-03 05:00:00,-8.5,-9.7,67,0.0,0.0,55.4,0.0,332,1.5,3.3,1005.5,3,11.9
Foster Weather Station,2022-01-03 06:00:00,-11.0,,63,,0.0,,,0,3.3,0.0,1003.7,1,15.3
Oak Street Weather Station,2022-01-03 06:00:00,-8.8,-9.9,68,0.0,0.0,55.4,0.0,267,1.5,4.1,1005.1,3,12.0
Foster Weather Station,2022-01-03 07:00:00,-10.78,,65,,0.0,,,0,3.3,0.0,1004.1,2,14.8
Oak Street Weather Station,2022-01-03 07:00:00,-9.1,-10.2,68,0.0,0.0,55.4,0.0,287,1.2,4.1,1005.6,3,12.0
Foster Weather Station,2022-01-03 08:00:00,-11.0,,64,,0.0,,,0,3.3,0.0,1004.1,54,14.8
Oak Street Weather Station,2022-01-03 08:00:00,-9.0,-10.1,67,0.0,0.0,55.4,0.0,274,2.3,5.1,1005.7,20,12.0
Foster Weather Station,2022-01-03 09:00:00,-10.39,,58,,0.0,,,0,3.3,0.0,1004.7,192,14.8
Oak Street Weather Station,2022-01-03 09:00:00,-9.0,-10.3,63,0.0,0.0,55.4,0.0,271,1.9,5.3,1006.1,29,11.9
Foster Weather Station,2022-01-03 10:00:00,-9.17,,49,,0.0,,,0,3.3,0.0,1005.1,301,15.2
Oak Street Weather Station,2022-01-03 10:00:00,-7.7,-9.5,53,0.0,0.0,55.4,0.0,281,1.4,4.1,1006.8,263,11.9
Foster Weather Station,2022-01-03 11:00:00,-8.0,,43,,0.0,,,0,3.3,0.0,1004.4,376,15.1
Oak Street Weather Station,2022-01-03 11:00:00,-6.6,-8.6,52,0.0,0.0,55.4,0.0,324,1.5,2.9,1005.9,234,11.9
Foster Weather Station,2022-01-03 12:00:00,-6.5,,36,,0.0,,,0,3.3,0.0,1004.1,406,15.2
Oak Street Weather Station,2022-01-03 12:00:00,-5.9,-8.2,46,0.0,0.0,55.4,0.0,300,2.6,5.9,1005.5,28,12.0
Foster Weather Station,2022-01-03 13:00:00,-5.89,,33,,0.0,,,0,3.3,0.0,1003.0,385,15.1
Oak Street Weather Station,2022-01-03 13:00:00,-5.5,-7.9,44,0.0,0.0,55.4,0.0,278,1.2,3.0,1004.8,28,11.9
Foster Weather Station,2022-01-03 14:00:00,-5.56,,36,,0.0,,,0,3.3,0.0,1003.0,314,14.8
Oak Street Weather Station,2022-01-03 14:00:00,-4.5,-7.1,43,0.0,0.0,55.4,0.0,266,0.9,2.7,1004.5,25,11.9
Foster Weather Station,2022-01-03 15:00:00,-5.06,,39,,0.0,,,0,3.3,0.0,1003.0,203,15.2
Oak Street Weather Station,2022-01-03 15:00:00,-4.4,-6.8,48,0.0,0.0,55.4,0.0,318,1.0,2.2,1004.5,21,12.0
Foster Weather Station,2022-01-03 16:00:00,-5.5,,44,,0.0,,,0,3.3,0.0,1003.0,35,14.8
Oak Street Weather Station,2022-01-03 16:00:00,-4.5,-7.1,44,0.0,0.0,55.4,0.0,302,1.8,3.8,1004.6,20,12.0
Foster Weather Station,2022-01-03 17:00:00,-6.06,,43,,0.0,,,0,3.3,0.0,1003.0,3,14.8
Oak Street Weather Station,2022-01-03 17:00:00,-5.1,-7.3,51,0.0,0.0,55.4,0.0,278,2.6,6.3,1004.5,3,11.8
Foster Weather Station,2022-01-03 18:00:00,-7.06,,51,,0.0,,,0,3.3,0.0,1002.7,2,15.2
Oak Street Weather Station,2022-01-03 18:00:00,-5.5,-7.5,55,0.0,0.0,55.4,0.0,292,1.7,4.5,1004.2,3,12.0
Foster Weather Station,2022-01-03 19:00:00,-6.78,,55,,0.0,,,0,3.3,0.0,1002.0,1,15.2
Oak Street Weather Station,2022-01-03 19:00:00,-4.6,-6.5,58,0.0,0.0,55.4,0.0,308,1.7,5.5,1003.6,3,12.0
Foster Weather Station,2022-01-03 20:00:00,-6.28,,59,,0.0,,,0,3.3,0.0,1002.4,2,14.8
Oak Street Weather Station,2022-01-03 20:00:00,-4.4,-6.2,61,0.0,0.0,55.4,0.0,268,2.6,5.9,1003.6,3,11.9
Foster Weather Station,2022-01-03 21:00:00,-5.78,,60,,0.0,,,0,3.3,0.0,1001.7,2,14.8
Oak Street Weather Station,2022-01-03 21:00:00,-3.9,-5.7,62,0.0,0.0,55.4,0.0,271,3.6,6.5,1003.1,3,11.9
Foster Weather Station,2022-01-03 22:00:00,-5.5,,61,,0.0,,,0,3.3,0.0,1001.7,1,15.2
Oak Street Weather Station,2022-01-03 22:00:00,-3.7,-5.5,63,0.0,0.0,55.4,0.0,306,1.7,3.9,1002.8,4,11.9
Foster Weather Station,2022-01-03 23:00:00,-5.06,,60,,0.0,,,0,3.3,0.0,1001.4,1,15.2
Oak Street Weather Station,2022-01-03 23:00:00,-3.6,-5.3,64,0.0,0.0,55.4,0.0,285,2.4,6.1,1002.8,3,11.9
Foster Weather Station,2022-01-04 00:00:00,-5.06,,61,,0.0,,,0,3.3,0.0,1000.7,2,14.8
Oak Street Weather Station,2022-01-04 00:00:00,-3.6,-5.4,63,0.0,0.0,55.4,0.0,319,1.1,3.9,1002.1,3,12.0
Foster Weather Station,2022-01-04 01:00:00,-4.89,,61,,0.0,,,0,3.3,0.0,1000.3,1,15.2
Oak Street Weather Station,2022-01-04 01:00:00,-3.3,-5.0,65,0.0,0.0,55.4,0.0,289,2.4,5.1,1001.5,3,12.0
Foster Weather Station,2022-01-04 02:00:00,-4.78,,62,,0.0,,,0,3.3,0.0,1000.0,3,14.8
Oak Street Weather Station,2022-01-04 02:00:00,-3.1,-4.9,64,0.0,0.0,55.4,0.0,296,1.3,2.9,1001.3,3,12.0
Foster Weather Station,2022-01-04 03:00:00,-4.78,,63,,0.0,,,0,3.3,0.0,1000.0,2,14.8
Oak Street Weather Station,2022-01-04 03:00:00,-2.8,-4.6,63,0.0,0.0,55.4,0.0,305,1.4,4.4,1001.1,3,12.0
Foster Weather Station,2022-01-04 04:00:00,-4.89,,66,,0.0,,,0,3.3,0.0,998.6,1,15.2
Oak Street Weather Station,2022-01-04 04:00:00,-2.9,-4.5,67,0.0,0.0,55.4,0.0,314,2.4,4.4,1000.2,3,11.9
Foster Weather Station,2022-01-04 05:00:00,-4.78,,67,,0.0,,,0,3.3,0.0,998.3,3,14.8
Oak Street Weather Station,2022-01-04 05:00:00,-2.7,-4.4,67,0.0,0.0,55.4,0.0,307,1.9,4.5,999.7,3,11.9
Foster Weather Station,2022-01-04 06:00:00,-4.67,,67,,0.0,,,0,3.3,0.0,997.6,1,15.2
Oak Street Weather Station,2022-01-04 06:00:00,-2.3,-4.1,66,0.0,0.0,55.4,0.0,324,2.0,3.9,999.3,3,11.9
Foster Weather Station,2022-01-04 07:00:00,-4.5,,67,,0.0,,,0,3.3,0.0,997.0,3,14.8
Oak Street Weather Station,2022-01-04 07:00:00,-2.0,-3.8,66,0.0,0.0,55.4,0.0,270,1.9,5.1,998.3,3,12.0
Foster Weather Station,2022-01-04 08:00:00,-4.0,,66,,0.0,,,0,3.3,0.0,996.3,81,15.2
Oak Street Weather Station,2022-01-04 08:00:00,-1.6,-3.5,65,0.0,0.0,55.4,0.0,316,1.5,2.6,997.5,45,11.9
Foster Weather Station,2022-01-04 09:00:00,-3.06,,63,,0.0,,,0,3.3,0.0,995.6,178,15.2
Oak Street Weather Station,2022-01-04 09:00:00,-1.1,-3.0,65,0.0,0.0,55.4,0.0,11,1.7,4.1,996.7,64,12.0
Foster Weather Station,2022-01-04 10:00:00,-1.56,,59,,0.0,,,0,3.3,0.0,994.6,251,15.2
Oak Street Weather Station,2022-01-04 10:00:00,-0.2,-2.4,61,0.0,0.0,55.4,0.0,279,2.5,4.8,996.2,241,12.0
Foster Weather Station,2022-01-04 11:00:00,-0.5,,57,,0.0,,,0,3.3,0.0,993.2,348,15.2
Oak Street Weather Station,2022-01-04 11:00:00,0.6,-1.8,61,0.0,0.0,55.4,0.0,92,1.5,5.7,994.5,237,11.9
Foster Weather Station,2022-01-04 12:00:00,-0.17,,57,,0.0,,,0,3.3,0.0,991.2,258,15.2
Oak Street Weather Station,2022-01-04 12:00:00,1.3,-1.2,60,0.0,0.0,55.4,0.0,268,1.7,3.3,992.8,186,11.8
Foster Weather Station,2022-01-04 13:00:00,0.56,,55,,0.0,,,0,3.3,0.0,989.5,195,15.2
Oak Street Weather Station,2022-01-04 13:00:00,1.6,-0.9,59,0.0,0.0,55.4,0.0,70,2.0,4.1,990.8,165,12.0
Foster Weather Station,2022-01-04 14:00:00,1.0,,54,,0.0,,,0,3.3,0.0,988.1,185,15.2
Oak Street Weather Station,2022-01-04 14:00:00,2.2,-0.5,58,0.0,0.0,55.4,0.0,166,1.5,3.7,989.6,136,12.0
Foster Weather Station,2022-01-04 15:00:00,1.17,,51,,0.0,,,0,3.3,0.0,987.1,102,15.2
Oak Street Weather Station,2022-01-04 15:00:00,2.3,-0.6,55,0.0,0.0,55.4,0.0,99,2.7,5.0,988.7,75,12.0
Foster Weather Station,2022-01-04 16:00:00,0.67,,52,,0.0,,,0,3.3,0.0,985.8,31,15.2
Oak Street Weather Station,2022-01-04 16:00:00,1.9,-0.8,57,0.0,0.0,55.4,0.0,36,1.9,4.7,987.4,27,12.0
Foster Weather Station,2022-01-04 17:00:00,0.56,,57,,0.0,,,0,3.3,0.0,983.7,2,14.8
Oak Street Weather Station,2022-01-04 17:00:00,1.5,-0.8,62,0.0,0.0,55.4,0.0,105,3.0,5.5,985.2,1,11.8
Foster Weather Station,2022-01-04 18:00:00,0.89,,54,,0.0,,,0,3.3,0.0,983.1,4,14.8
Oak Street Weather Station,2022-01-04 18:00:00,1.6,-0.8,61,0.0,0.0,55.4,0.0,41,2.2,4.5,984.1,1,12.0
Foster Weather Station,2022-01-04 19:00:00,0.78,,56,,0.0,,,0,3.3,0.0,982.1,2,15.2
Oak Street Weather Station,2022-01-04 19:00:00,2.1,-0.5,60,0.0,0.0,55.4,0.0,261,1.9,4.4,983.3,0,11.9
Foster Weather Station,2022-01-04 20:00:00,1.0,,58,,0.0,,,0,3.3,0.0,981.4,2,15.2
Oak Street Weather Station,2022-01-04 20:00:00,2.4,-0.1,62,0.0,0.0,55.4,0.0,6,2.2,2.7,982.8,1,12.0
Foster Weather Station,2022-01-04 21:00:00,1.0,,60,,0.0,,,0,3.3,0.0,980.0,2,15.2
Oak Street Weather Station,2022-01-04 21:00:00,2.1,-0.2,64,0.0,0.0,55.4,0.0,312,1.2,2.6,981.5,0,12.0
Foster Weather Station,2022-01-04 22:00:00,1.0,,59,,0.0,,,0,3.3,0.0,979.0,2,15.2
Oak Street Weather Station,2022-01-04 22:00:00,2.1,-0.2,63,0.0,0.0,55.4,0.0,269,1.8,3.7,980.4,1,11.9
Foster Weather Station,2022-01-04 23:00:00,1.17,,57,,0.0,,,0,3.3,0.0,978.0,2,15.1
Oak Street Weather Station,2022-01-04 23:00:00,2.1,-0.4,61,0.0,0.0,55.4,0.0,262,2.0,5.4,979.5,1,12.0
Foster Weather Station,2022-01-05 00:00:00,1.0,,59,,0.0,,,0,3.3,0.0,977.3,2,15.1
Oak Street Weather Station,2022-01-05 00:00:00,1.8,-0.5,64,0.0,0.0,55.4,0.0,304,1.3,3.8,978.8,1,11.9
Foster Weather Station,2022-01-05 01:00:00,0.67,,62,,0.0,,,0,3.3,0.0,976.6,2,15.2
Oak Street Weather Station,2022-01-05 01:00:00,1.6,-0.5,66,0.0,0.0,55.4,0.0,290,1.6,3.5,978.2,1,12.0
Foster Weather Station,2022-01-05 02:00:00,0.39,,65,,0.0,,,0,3.3,0.0,976.3,2,15.1
Oak Street Weather Station,2022-01-05 02:00:00,1.1,-0.8,69,0.0,0.0,55.4,0.0,307,1.0,4.1,977.9,1,12.0
Foster Weather Station,2022-01-05 03:00:00,0.39,,65,,0.0,,,0,3.3,0.0,976.3,3,14.7
Oak Street Weather Station,2022-01-05 03:00:00,1.2,-0.6,70,0.0,0.0,55.4,0.0,276,2.5,6.5,977.5,1,12.0
Foster Weather Station,2022-01-05 04:00:00,-0.28,,68,,0.0,,,0,3.3,0.0,976.3,2,15.2
Oak Street Weather Station,2022-01-05 04:00:00,0.5,-1.1,73,0.0,0.0,55.4,0.0,303,1.9,3.9,977.5,1,12.0
Foster Weather Station,2022-01-05 05:00:00,-2.89,,70,,0.0,,,0,3.3,0.0,976.6,2,15.2
Oak Street Weather Station,2022-01-05 05:00:00,-1.3,-2.7,75,0.0,0.0,55.4,0.0,286,2.4,7.1,978.1,2,11.9
Foster Weather Station,2022-01-05 06:00:00,-5.17,,66,,0.0,,,0,3.3,0.0,977.7,3,14.8
Oak Street Weather Station,2022-01-05 06:00:00,-3.4,-4.8,71,0.0,0.0,55.4,0.0,300,1.5,5.4,979.0,3,12.0
Foster Weather Station,2022-01-05 07:00:00,-6.56,,63,,0.0,,,0,3.3,0.0,978.7,2,15.2
Oak Street Weather Station,2022-01-05 07:00:00,-5.2,-6.5,71,0.0,0.0,55.4,0.0,258,4.1,11.3,980.1,3,12.0
Foster Weather Station,2022-01-05 08:00:00,-7.67,,65,,0.0,,,0,3.3,0.0,979.7,14,15.2
Oak Street Weather Station,2022-01-05 08:00:00,-6.4,-7.7,68,0.0,0.0,55.4,0.0,333,2.6,5.9,981.2,18,11.9
Foster Weather Station,2022-01-05 09:00:00,-8.67,,69,,0.0,,,0,3.3,0.0,981.0,52,14.8
Oak Street Weather Station,2022-01-05 09:00:00,-7.2,-8.5,69,0.0,0.0,55.4,0.0,331,1.7,5.6,982.3,54,11.9
